equipo_id,linea_produccion,voltaje_v,corriente_a,potencia_kw,energia_kwh,horas_activas,temperatura_c,factor_potencia,eficiencia_porcentual,fallas_detectadas,costo_energia_usd,fecha_registro
EQ_029,Línea A,249.48,13.09,3.01,24.92,5.74,47.57,0.8880224934364954,91.51,0,2.27,2024-08-12
EQ_018,Línea B,249.44,7.68,1.86,8.0,4.63,60.11,0.932532578880395,80.9,3,0.74,2024-02-12
EQ_026,Línea C,214.22,12.17,2.51,26.27,8.59,23.66,0.9538322034163902,83.5,0,3.16,2024-05-30
EQ_044,Línea C,224.93,4.93,0.93,6.11,4.79,29.59,0.8880467195274184,89.37,1,0.82,2024-10-22
EQ_034,Línea D,218.92,5.62,1.1,9.35,7.59,51.76,0.9817691947060949,79.73,1,0.91,2024-03-03
EQ_010,Línea A,233.53,4.69,0.9,5.61,11.52,58.64,0.9447849010581826,93.35,1,0.58,2024-05-09
EQ_036,Línea C,239.12,5.45,1.22,12.52,11.62,40.1,0.865004561341383,84.86,1,1.37,2024-09-11
EQ_014,Línea C,223.87,10.17,2.25,24.96,5.91,25.02,0.9628183143271187,72.94,1,2.57,2024-12-08
EQ_031,Línea A,227.04,5.41,1.02,7.33,8.99,59.32,0.8995193307601153,79.64,1,0.83,2024-08-01
EQ_048,Línea B,210.69,14.72,2.94,32.06,7.79,36.89,0.9110434786847198,95.47,4,3.96,2024-03-13
EQ_015,Línea B,226.55,9.38,1.97,12.09,11.01,41.39,0.8692015651515945,77.5,0,1.58,2024-04-13
EQ_008,Línea D,222.44,11.25,2.29,18.95,6.17,48.19,0.9515723206344916,92.15,1,2.8,2024-06-06
EQ_014,Línea B,206.32,9.47,1.72,18.7,4.03,38.34,0.912556738665229,85.97,0,2.73,2024-09-28
EQ_023,Línea A,219.79,11.64,2.23,14.73,5.3,36.24,0.9536878477250305,83.63,1,1.83,2024-11-10
EQ_040,Línea C,214.25,5.4,0.94,10.93,6.8,36.42,0.8924508805467216,100.0,2,1.47,2024-08-25
EQ_021,Línea B,210.86,12.34,2.2,10.95,6.53,63.58,0.8867298356064961,74.73,2,1.61,2024-10-29
EQ_016,Línea D,202.8,8.42,1.37,5.68,10.33,56.6,0.8826781464201126,79.08,1,0.54,2024-06-06
EQ_045,Línea B,220.94,11.63,2.35,26.4,9.44,50.75,0.9398016089771465,84.81,1,2.38,2024-04-18
EQ_018,Línea A,208.29,3.68,0.63,2.87,6.4,23.14,0.8859825087748632,100.0,0,0.26,2024-01-09
EQ_047,Línea D,212.93,8.54,1.77,21.13,7.66,50.78,0.9098443675636794,84.83,1,2.62,2024-11-16
EQ_024,Línea B,236.13,8.44,1.8,20.9,4.76,50.24,0.8940786506346834,87.19,4,2.84,2024-02-28
EQ_026,Línea D,229.48,6.14,1.32,6.73,11.19,32.22,0.9420041962448839,82.31,1,0.75,2024-12-23
EQ_025,Línea A,205.32,8.94,1.62,13.45,11.48,47.59,0.8332348776697844,87.87,1,1.65,2024-07-10
EQ_045,Línea C,225.28,12.62,2.59,14.19,11.84,55.51,0.932351643511167,82.81,0,1.72,2024-05-15
EQ_041,Línea A,221.99,5.91,1.3,9.65,10.95,50.69,1.0,90.56,1,0.92,2024-09-07
EQ_029,Línea A,245.53,10.89,2.18,9.79,5.39,38.2,0.981801305436685,91.19,0,1.07,2024-05-25
EQ_015,Línea A,240.75,4.62,0.95,5.5,4.37,45.13,0.8891673439013265,83.13,1,0.5,2024-12-12
EQ_045,Línea A,196.99,14.33,2.7,18.65,8.64,52.3,0.9447300888082493,76.0,0,1.8,2024-12-17
EQ_001,Línea C,232.92,10.35,1.98,14.87,11.3,45.59,0.9350282736419953,85.75,2,2.06,2024-02-27
EQ_025,Línea C,238.98,13.18,2.57,30.38,5.42,57.54,0.993469603158107,96.22,3,4.25,2024-06-25
EQ_007,Línea D,228.39,10.02,2.0,20.93,4.06,48.96,0.7944942538838616,78.39,1,2.89,2024-10-14
EQ_009,Línea B,214.97,9.17,1.61,15.94,10.44,52.53,0.9756433684467583,87.67,1,2.13,2024-09-01
EQ_024,Línea C,256.2,10.38,2.44,20.24,4.61,53.21,0.9066241163618065,75.35,1,2.78,2024-02-17
EQ_001,Línea C,229.77,7.59,1.47,15.76,7.31,34.33,0.8828385530274792,76.68,1,2.05,2024-10-27
EQ_044,Línea B,249.65,3.15,0.77,5.17,9.43,45.5,0.8814098985602687,95.4,1,0.67,2024-12-21
EQ_008,Línea C,240.27,9.34,2.15,20.79,5.89,41.68,0.8550046841894361,90.53,0,2.7,2024-04-09
EQ_024,Línea A,226.96,5.73,1.22,14.58,4.67,55.44,0.8892940796263032,87.79,0,1.76,2024-07-31
EQ_011,Línea A,211.3,4.7,0.92,6.0,10.16,49.63,0.8660132973034302,66.43,2,0.67,2024-10-28
EQ_017,Línea B,219.64,9.91,2.12,19.91,9.04,43.12,0.9290108585253659,80.58,0,2.66,2024-06-13
EQ_008,Línea D,216.67,7.16,1.31,14.09,11.91,32.18,0.9494968816164191,89.85,1,1.52,2024-05-05
EQ_035,Línea D,201.78,11.08,2.18,24.69,6.75,29.03,0.907171329518082,73.41,0,3.03,2024-10-28
EQ_035,Línea B,229.75,5.63,1.24,12.08,4.49,48.1,0.9949861603128083,82.17,0,1.4,2024-04-30
EQ_033,Línea B,243.51,6.59,1.52,9.53,9.87,37.83,0.8925789357271531,91.13,0,1.02,2024-03-28
EQ_005,Línea A,215.53,11.45,2.25,14.87,8.17,51.66,0.9045568788801704,72.91,0,2.21,2024-08-04
EQ_042,Línea D,252.45,8.84,1.9,7.92,5.71,28.57,0.8963529678535789,71.57,0,0.84,2024-03-01
EQ_039,Línea C,196.64,3.57,0.62,6.25,10.25,60.93,0.9499309436957197,73.05,2,0.68,2024-10-28
EQ_041,Línea A,235.82,8.77,1.98,8.6,5.63,51.64,0.9549786751425945,87.68,1,0.86,2024-06-27
EQ_028,Línea B,245.07,12.44,2.46,26.86,6.09,45.99,0.9447683441985549,80.54,1,3.74,2024-07-08
EQ_007,Línea D,216.94,6.56,1.36,6.73,4.74,61.83,0.9137945673031266,92.02,1,0.84,2024-06-11
EQ_009,Línea C,217.21,9.79,1.8,9.68,7.2,54.48,0.8529688570461056,85.97,1,1.23,2024-03-21
EQ_008,Línea C,235.64,5.45,1.06,8.28,7.35,40.25,0.9040279709594747,100.0,2,1.15,2024-06-18
EQ_012,Línea A,227.59,7.59,1.42,14.06,8.12,45.78,0.9939069856950266,75.1,2,1.55,2024-10-27
EQ_034,Línea D,190.04,11.27,1.73,8.84,9.67,25.36,0.9706618943717493,87.65,0,0.9,2024-07-14
EQ_033,Línea D,207.35,8.66,1.62,12.18,11.25,55.64,0.934702519834336,78.64,1,1.24,2024-07-21
EQ_048,Línea B,219.8,11.87,2.2,17.3,5.1,42.04,0.9007773971440779,89.8,1,2.32,2024-02-16
EQ_023,Línea D,199.45,9.28,1.85,10.54,4.43,25.23,0.9193190761332738,85.96,3,1.34,2024-06-06
EQ_024,Línea D,212.89,14.66,2.86,14.08,4.15,33.18,0.9009997880482143,77.06,0,1.44,2024-07-12
EQ_037,Línea A,199.83,3.31,0.55,5.88,5.15,53.71,0.9796525844041774,83.74,1,0.58,2024-10-05
EQ_035,Línea D,214.45,7.35,1.48,11.87,9.26,61.14,0.8780516500803293,85.58,3,1.15,2024-11-12
EQ_044,Línea C,214.95,4.75,1.0,4.12,9.82,45.2,0.9661834641148489,80.21,0,0.53,2024-09-25
EQ_040,Línea A,225.28,4.95,1.06,11.05,10.29,35.18,0.8935398714170617,90.82,1,0.99,2024-07-17
EQ_022,Línea A,218.62,4.98,0.89,10.54,5.95,30.79,0.9860463415180997,76.75,1,0.96,2024-08-11
EQ_027,Línea B,227.54,8.5,1.89,16.72,6.45,59.15,0.9413387961904004,100.0,1,1.9,2024-09-19
EQ_035,Línea D,225.75,8.68,1.88,15.1,7.87,49.49,0.8825306300027566,92.63,1,1.99,2024-06-14
EQ_001,Línea B,235.47,9.28,1.82,20.07,4.51,41.7,0.9045343793248997,87.79,1,2.64,2024-06-28
EQ_035,Línea C,233.11,4.63,0.87,10.11,8.89,39.32,0.9555820303361664,100.0,1,1.17,2024-07-10
EQ_037,Línea A,231.52,7.03,1.48,14.85,11.87,51.72,0.8950428588212971,82.53,1,1.95,2024-08-03
EQ_047,Línea A,266.57,5.11,1.13,8.55,6.89,51.44,0.9211068242690603,89.89,1,1.04,2024-10-10
EQ_014,Línea A,225.21,10.81,2.35,20.53,10.02,36.03,0.8943527915425529,86.78,1,3.05,2024-12-17
EQ_003,Línea C,258.9,5.39,1.22,11.72,8.0,33.58,1.0,91.38,0,1.17,2024-04-16
EQ_001,Línea C,226.18,7.36,1.64,9.11,5.02,34.08,1.0,96.97,1,1.15,2024-04-07
EQ_005,Línea B,218.76,9.68,1.93,14.62,8.66,40.32,0.9931561976695862,89.39,0,1.75,2024-08-17
EQ_026,Línea B,214.4,6.15,1.1,11.7,6.4,38.1,0.9137813017433084,93.33,3,1.19,2024-09-13
EQ_014,Línea B,242.65,10.08,2.03,18.75,4.28,61.18,0.8998623676646517,80.6,0,2.53,2024-02-12
EQ_039,Línea D,244.61,12.79,2.86,20.85,9.08,39.96,0.8810418210242935,83.35,1,2.22,2024-08-29
EQ_027,Línea A,229.0,8.57,1.87,17.4,10.87,32.5,0.9967860645401554,98.11,1,1.96,2024-02-11
EQ_009,Línea A,237.0,10.7,2.43,12.02,6.76,33.07,0.9665361855350585,89.77,3,1.35,2024-04-04
EQ_015,Línea B,200.84,1.78,0.31,2.24,7.12,43.16,0.9689380440753671,86.99,1,0.23,2024-09-10
EQ_015,Línea A,196.77,6.71,1.11,11.48,11.13,26.78,0.9075036031559555,78.97,2,1.33,2024-07-06
EQ_026,Línea B,238.69,8.55,1.64,9.45,10.51,44.4,0.8321051257871046,92.73,1,1.12,2024-11-02
EQ_042,Línea D,218.1,4.84,0.99,5.43,9.72,31.64,0.8436021195229619,78.75,1,0.73,2024-06-15
EQ_013,Línea D,231.24,8.62,1.63,18.92,5.99,56.59,0.9228817031451255,76.39,1,2.57,2024-09-27
EQ_032,Línea C,209.24,11.18,2.07,11.76,11.28,46.17,0.8938662871816833,85.92,2,1.17,2024-05-04
EQ_039,Línea D,244.85,2.36,0.53,3.23,5.24,66.21,0.8881149352803684,65.78,3,0.41,2024-06-09
EQ_049,Línea B,196.89,4.43,0.86,10.11,9.01,42.72,0.9372574186864312,89.89,1,1.45,2024-03-27
EQ_032,Línea D,199.22,8.55,1.47,14.52,4.23,13.68,0.9706829914929747,88.02,1,1.4,2024-11-04
EQ_004,Línea C,241.66,9.38,1.93,18.52,9.15,59.58,0.8849386465701625,82.18,1,2.19,2024-08-13
EQ_030,Línea A,180.85,10.21,1.72,18.62,6.22,50.02,0.8547195157171912,82.9,0,2.51,2024-05-24
EQ_037,Línea B,225.68,8.33,1.74,8.57,7.6,51.57,0.8861264412261137,84.05,2,1.09,2024-12-10
EQ_023,Línea A,218.39,9.38,1.77,17.08,6.76,34.97,0.8678018018724034,78.69,2,1.64,2024-09-04
EQ_039,Línea C,208.96,10.71,2.21,17.75,5.38,44.57,0.9496416307962995,86.48,1,2.02,2024-12-27
EQ_045,Línea C,217.0,6.76,1.42,15.1,8.98,46.86,0.919794562289504,83.0,0,1.82,2024-01-06
EQ_015,Línea C,207.29,6.17,1.08,8.71,11.06,42.62,1.0,85.9,0,1.3,2024-01-31
EQ_043,Línea A,243.13,7.49,1.54,13.8,11.67,27.66,0.9567342559819132,83.75,2,1.39,2024-07-15
EQ_029,Línea A,247.07,8.6,1.92,15.02,5.54,72.69,1.0,82.18,1,2.24,2024-08-19
EQ_036,Línea A,209.71,6.03,1.21,9.47,9.74,53.36,0.8498062320046192,87.23,0,1.07,2024-10-22
EQ_013,Línea A,224.13,6.82,1.24,12.58,9.31,49.21,0.7573570601784192,91.25,2,1.28,2024-11-20
EQ_032,Línea C,200.12,9.19,1.73,15.62,6.75,58.14,0.9321496014217701,80.8,3,1.79,2024-05-14
EQ_007,Línea C,236.1,8.47,1.86,16.86,4.15,51.44,0.9261610120496054,88.16,1,2.14,2024-01-13
EQ_022,Línea B,235.71,7.44,1.48,11.25,9.52,38.23,0.9138607292726032,89.16,2,1.16,2024-01-04
EQ_028,Línea B,215.57,2.78,0.56,4.62,11.56,57.5,0.9247898362814823,74.73,1,0.5,2024-06-26
EQ_002,Línea A,220.25,7.99,1.74,17.34,9.06,53.52,0.8637986907634696,92.81,0,2.45,2024-08-21
EQ_042,Línea D,218.59,5.09,0.9,9.55,7.48,38.61,0.9481589348942225,100.0,1,1.43,2024-09-15
EQ_045,Línea D,195.72,10.95,1.85,17.71,8.2,52.9,0.956809662005117,84.3,0,1.93,2024-05-19
EQ_006,Línea C,243.19,7.07,1.53,17.43,5.6,42.59,0.8600125641498446,83.63,3,1.72,2024-03-05
EQ_028,Línea C,208.5,5.01,1.02,10.77,10.0,47.08,0.9023181789575355,83.3,1,1.48,2024-10-09
EQ_028,Línea C,208.6,7.82,1.62,13.76,9.97,51.0,0.905406807543012,89.96,1,1.73,2024-12-28
EQ_044,Línea B,217.74,11.81,2.29,21.46,5.16,58.68,0.8864594548919861,89.09,2,2.06,2024-11-01
EQ_044,Línea B,234.93,9.89,2.21,25.22,11.02,38.54,0.861944380493339,72.27,1,3.7,2024-07-23
EQ_020,Línea C,211.13,8.66,1.66,14.86,6.15,48.65,0.9206252495512712,78.07,0,1.41,2024-01-17
EQ_030,Línea C,190.72,4.02,0.7,7.42,11.86,65.16,0.9330402760332149,89.06,4,0.95,2024-07-18
EQ_011,Línea C,206.7,12.86,2.27,21.59,7.06,43.24,0.8894908945617853,83.84,1,2.49,2024-02-01
EQ_028,Línea D,226.36,6.14,1.17,9.85,5.42,46.97,0.8654605701121771,75.67,1,1.22,2024-07-30
EQ_025,Línea B,252.85,10.8,2.34,13.89,6.81,65.14,0.9405278622520686,97.0,0,1.43,2024-09-29
EQ_039,Línea D,201.1,7.02,1.29,9.56,7.52,51.37,0.8816339762382173,78.6,2,1.26,2024-10-16
EQ_033,Línea D,200.55,10.51,1.7,19.96,4.55,30.26,0.9045397243200397,85.29,1,2.95,2024-10-17
EQ_001,Línea C,197.31,11.92,2.31,21.4,8.63,37.05,0.8981961685920891,83.63,0,2.51,2024-08-21
EQ_027,Línea C,195.45,9.94,1.61,13.71,8.78,51.9,0.9822854332084832,76.37,1,1.66,2024-06-30
EQ_013,Línea A,238.09,10.27,2.06,23.62,9.91,49.23,0.8839284767973191,86.48,1,2.47,2024-05-25
EQ_041,Línea A,242.42,7.7,1.69,14.69,4.23,46.63,1.0,88.14,0,2.11,2024-02-19
EQ_003,Línea D,222.67,6.7,1.41,11.57,8.33,66.61,0.9576150969070754,81.26,2,1.72,2024-04-12
EQ_039,Línea B,212.98,8.41,1.47,14.81,4.42,38.83,1.0,82.31,5,2.03,2024-02-02
EQ_006,Línea C,246.87,6.98,1.49,14.45,9.61,44.26,0.9532319414789837,89.8,3,1.77,2024-03-29
EQ_008,Línea C,222.61,15.4,3.41,18.91,4.45,25.37,0.9089477776148915,69.2,1,2.79,2024-12-06
EQ_027,Línea D,236.34,5.02,1.01,7.85,11.29,56.61,0.8741316835423903,78.24,1,0.78,2024-11-10
EQ_009,Línea A,212.25,11.01,2.02,15.72,9.62,37.01,0.9022294304612863,86.71,2,1.87,2024-08-28
EQ_037,Línea B,220.66,9.55,2.04,14.33,8.06,55.57,0.9943640512611613,80.79,0,1.75,2024-09-22
EQ_033,Línea A,201.44,8.69,1.42,11.56,7.53,54.52,0.9176030603827557,80.67,1,1.38,2024-08-10
EQ_042,Línea A,229.44,12.44,2.55,18.63,5.05,68.49,0.9530459693577554,92.21,0,2.57,2024-08-23
EQ_044,Línea A,222.86,8.9,1.74,9.73,6.33,51.49,0.9303485672532996,79.93,2,1.27,2024-06-01
EQ_024,Línea A,206.58,6.1,1.09,7.96,10.95,41.44,0.9324830589254621,100.0,1,0.78,2024-02-26
EQ_015,Línea C,206.78,8.88,1.57,7.19,11.24,49.54,0.9344079841982458,70.96,1,0.8,2024-11-17
EQ_032,Línea C,244.24,7.45,1.49,12.82,4.01,37.41,0.9447670743416227,67.3,3,1.41,2024-04-21
EQ_032,Línea A,249.58,9.51,2.05,22.2,8.75,48.19,0.8792946254454596,92.03,2,2.75,2024-01-15
EQ_024,Línea B,216.8,10.44,1.83,17.94,9.75,42.99,0.9062547864546903,77.13,0,1.93,2024-09-25
EQ_041,Línea D,221.02,5.42,1.15,7.92,8.95,44.3,0.935465666650817,77.26,2,0.77,2024-04-23
EQ_049,Línea B,226.0,11.59,2.3,10.8,4.65,36.02,0.9281743611250098,92.88,0,1.4,2024-09-08
EQ_049,Línea B,222.22,7.24,1.43,8.03,5.74,48.0,0.8969397698193884,81.02,2,1.13,2024-05-21
EQ_012,Línea B,194.89,9.33,1.78,14.89,6.0,53.24,0.9408300457380553,92.28,0,2.17,2024-04-23
EQ_039,Línea A,226.42,9.85,2.08,11.77,10.65,28.48,0.8814429321721391,80.12,2,1.75,2024-10-16
EQ_002,Línea C,188.68,9.1,1.38,11.53,7.71,38.11,0.8588496915531866,87.9,0,1.58,2024-12-22
EQ_003,Línea B,209.01,7.67,1.58,9.25,7.89,46.68,0.9347492883944573,80.91,1,0.91,2024-01-25
EQ_049,Línea A,227.58,6.53,1.26,13.6,11.48,21.53,0.8600754131239622,77.64,2,1.92,2024-11-05
EQ_037,Línea B,229.0,7.19,1.35,9.69,9.1,62.4,0.9340062001209818,98.84,1,1.1,2024-09-11
EQ_049,Línea B,207.85,12.7,2.52,15.03,11.19,37.89,0.8222659502200623,93.93,0,2.01,2024-09-24
EQ_017,Línea A,213.12,5.4,1.04,10.92,7.65,35.62,0.8837506080421601,79.19,2,1.33,2024-05-05
EQ_049,Línea C,211.09,5.84,1.09,7.35,5.2,42.93,0.9036211543475443,83.57,0,1.03,2024-09-06
EQ_002,Línea C,218.46,5.71,1.06,5.19,11.44,46.37,0.839668241269117,96.81,0,0.6,2024-10-13
EQ_002,Línea D,219.6,8.41,1.68,14.39,7.67,37.44,0.9013663863563414,77.09,0,1.35,2024-11-29
EQ_028,Línea A,230.03,3.43,0.67,5.8,5.45,54.8,0.9792509818976206,77.53,1,0.72,2024-02-22
EQ_023,Línea D,212.25,3.94,0.82,7.97,6.42,49.0,0.8564845636558223,88.76,1,0.8,2024-02-12
EQ_037,Línea D,225.6,7.22,1.37,8.11,4.41,36.63,0.9027313377239325,100.0,2,1.2,2024-06-14
EQ_032,Línea D,227.61,4.14,0.92,6.95,7.75,39.78,1.0,85.43,0,0.85,2024-02-11
EQ_033,Línea C,222.97,4.38,0.89,5.57,10.83,29.83,0.8669069568494616,93.4,0,0.69,2024-06-24
EQ_001,Línea A,216.11,4.16,0.87,4.04,11.47,32.47,0.9898611675866936,76.86,2,0.58,2024-03-07
EQ_019,Línea D,222.71,5.46,1.15,12.66,11.46,48.88,0.9060497359977019,87.89,2,1.61,2024-03-06
EQ_002,Línea A,231.28,10.19,2.21,21.73,5.0,36.73,0.9250956042941458,82.12,3,2.35,2024-03-23
EQ_044,Línea A,232.59,10.87,2.19,14.04,7.06,63.04,0.9845741115704693,99.93,1,1.51,2024-12-15
